attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
441,2015,0.24661098510256654,108.75544443023185,0.5124716553287982,0.24661098510256654,27.526562499999997,50.0,0.26077097505668934,,0,0.34112100167707965,44,0.34112100167707965,0.09977324263038549,0.061224489795918366,Jeff Driskel,2016,Louisiana Tech,1
1079,2012,0.2873392265863675,309.7516862601042,0.512987012987013,0.2873392265863675,27.554032258064517,50.0,0.2057460611677479,,0,0.09551158337525918,142,0.09551158337525918,0.13160333642261354,0.06950880444856349,Kevin Hogan,2016,Stanford,4
866,2012,0.33873428986784215,293.3438950255513,0.5242494226327945,0.33873428986784215,27.554032258064517,50.0,0.21016166281755197,,0,0.22854392668780157,102,0.22854392668780157,0.11778290993071594,0.07159353348729793,Nate Sudfeld,2016,Indiana,4
1137,2013,0.13191651938222643,149.98908253759146,0.4837291116974494,0.13191651938222643,28.000000000000004,50.0,0.1961301671064204,,0,0.369344754556639,113,0.369344754556639,0.09938434476693052,0.052770448548812667,Paxton Lynch,2016,Memphis,3
783,2013,-0.09900560860889625,-77.52139154076576,0.41507024265644954,-0.09900560860889625,28.000000000000004,50.0,0.1826309067688378,,0,-0.2183124992582533,90,-0.2183124992582533,0.11494252873563218,0.05236270753512133,C.J. Beathard,2017,Iowa,4
576,2016,-0.08031230481962363,-46.25988757610321,0.4375,-0.08031230481962363,28.057812500000004,50.0,0.1684027777777778,,0,0.0984770485333034,70,0.0984770485333034,0.12152777777777778,0.06770833333333333,Davis Webb,2017,California,1
699,2015,0.10716704727930763,74.90976604823604,0.4792560801144492,0.10716704727930763,27.526562499999997,50.0,0.20743919885550788,,0,-0.23564398665177194,95,-0.23564398665177194,0.13590844062947066,0.06723891273247497,DeShone Kizer,2017,Notre Dame,2
1182,2014,0.10219555493765677,120.79514593631029,0.5143824027072758,0.10219555493765677,27.3234375,50.0,0.21742808798646363,,0,0.17302330831686655,144,0.17302330831686655,0.1218274111675127,0.07698815566835872,Deshaun Watson,2017,Clemson,3
983,2013,0.012890912997910595,12.671767476946115,0.4598168870803662,0.012890912997910595,28.000000000000004,50.0,0.17599186164801628,,0,-0.18040253273371992,116,-0.18040253273371992,0.11800610376398779,0.054933875890132246,Joshua Dobbs,2017,Tennessee,4
617,2015,0.16469954795881842,101.61962109059095,0.47487844408427876,0.16469954795881842,27.526562499999997,50.0,0.22204213938411668,,0,0.2212800061380541,74,0.2212800061380541,0.11993517017828201,0.07941653160453808,Nathan Peterman,2017,Pittsburgh,2
1287,2014,0.1547033311263676,199.10318715963513,0.48717948717948717,0.1547033311263676,27.3234375,50.0,0.20745920745920746,,0,-0.11011144599399052,148,-0.11011144599399052,0.11499611499611499,0.07459207459207459,Patrick Mahomes,2017,Texas Tech,3
1174,2015,0.3656753298194318,429.30283720801293,0.5596252129471891,0.3656753298194318,27.526562499999997,50.0,0.25468483816013626,,0,0.31467377833831006,156,0.31467377833831006,0.13287904599659284,0.09965928449744463,Baker Mayfield,2018,Oklahoma,3
556,2016,0.06928050107322765,38.519958596714574,0.43884892086330934,0.06928050107322765,28.057812500000004,50.0,0.18705035971223022,,0,0.35038800372017753,54,0.35038800372017753,0.09712230215827339,0.050359712230215826,Danny Etling,2018,LSU,2
619,2015,0.022770580933436823,14.094989597797394,0.4410339256865913,0.022770580933436823,27.526562499999997,50.0,0.22778675282714056,,0,0.06716264240325444,63,0.06716264240325444,0.10177705977382875,0.07269789983844911,Josh Allen,2018,Wyoming,3
1100,2015,0.20497649431905962,225.4741437509656,0.5036363636363637,0.20497649431905962,27.526562499999997,50.0,0.22818181818181818,,0,-0.0821644767882332,126,-0.0821644767882332,0.11454545454545455,0.057272727272727274,Josh Rosen,2018,UCLA,3
64,2015,0.46910234831739217,30.0225502923131,0.609375,0.46910234831739217,27.526562499999997,50.0,0.21875,,0,1.2239059607187908,6,1.2239059607187908,0.09375,0.046875,Kyle Lauletta,2018,Richmond,2
1082,2015,0.07475381257794039,80.88362520933151,0.4713493530499076,0.07475381257794039,27.526562499999997,50.0,0.23105360443622922,,0,0.0569239150394093,132,0.0569239150394093,0.12199630314232902,0.06377079482439926,Lamar Jackson,2018,Louisville,3
1086,2013,0.24902360297698342,270.439632833004,0.5064456721915286,0.24902360297698342,28.000000000000004,50.0,0.2274401473296501,,0,0.3307394474510133,127,0.3307394474510133,0.11694290976058933,0.08287292817679558,Logan Woodside,2018,Toledo,4
937,2016,0.12042445485859314,112.83771420250177,0.5058697972251868,0.12042445485859314,28.057812500000004,50.0,0.19743863393810032,,0,-0.135083376814466,109,-0.135083376814466,0.11632870864461047,0.060832443970117396,Mike White,2018,Western Kentucky,2
765,2016,0.2516047454153011,192.47763024270535,0.5464052287581699,0.2516047454153011,28.057812500000004,50.0,0.23921568627450981,,0,0.4961864989857341,86,0.4961864989857341,0.11241830065359477,0.06928104575163399,Sam Darnold,2018,USC,2
420,2017,0.09363791059170451,39.32792244851589,0.44047619047619047,0.09363791059170451,27.235156250000003,50.0,0.20238095238095238,,0,-0.4492926368346581,52,-0.4492926368346581,0.12380952380952381,0.06428571428571428,Tanner Lee,2018,Nebraska,1
1691,2015,-0.11668487560244259,-197.31412464373042,0.43051448846836193,-0.11668487560244259,27.526562499999997,50.0,0.14725014784151388,,0,-0.09927881973377173,138,-0.09927881973377173,0.08160851567120048,0.03903015966883501,Clayton Thorson,2019,Northwestern,4
1240,2016,-0.13031800261470927,-161.59432324223948,0.4314516129032258,-0.13031800261470927,28.057812500000004,50.0,0.14596774193548387,,0,-0.26078923615542327,110,-0.26078923615542327,0.08870967741935484,0.043548387096774194,Daniel Jones,2019,Duke,3
1455,2015,0.08299372109450093,120.75586419249885,0.47010309278350515,0.08299372109450093,27.526562499999997,50.0,0.20412371134020618,,0,-0.0761160792726459,165,-0.0761160792726459,0.1134020618556701,0.07147766323024055,Drew Lock,2019,Missouri,4
579,2017,0.356615157222089,206.4801760315895,0.5578583765112263,0.356615157222089,27.235156250000003,50.0,0.22452504317789293,,0,0.2269494941360072,76,0.2269494941360072,0.13126079447322972,0.09844559585492228,Dwayne Haskins,2019,Ohio St.,2
738,2017,0.09035101994306738,66.67905271798372,0.44715447154471544,0.09035101994306738,27.235156250000003,50.0,0.2005420054200542,,0,0.012368025051222907,72,0.012368025051222907,0.0975609756097561,0.051490514905149054,Jarrett Stidham,2019,Auburn,2
