season,week,season_type,home_team,away_team,home_division,away_division,completed
2003,4,regular,McNeese,Georgia Southern,fcs,fcs,True
2003,4,regular,UCLA,Illinois,fbs,fbs,True
2003,4,regular,Jackson State,Tennessee State,fcs,fcs,True
2003,4,regular,New Mexico,BYU,fbs,fbs,True
2003,4,regular,Louisiana,Houston,fbs,fbs,True
2003,4,regular,Florida State,Georgia Tech,fbs,fbs,True
2003,4,regular,Nebraska,Penn State,fbs,fbs,True
2003,4,regular,LSU,Western Illinois,fbs,fcs,True
2003,4,regular,Idaho State,Northern Colorado,fcs,fcs,True
2003,4,regular,Southern Utah,Stephen F. Austin,fcs,fcs,True
2003,4,regular,Cal Poly,Sacramento State,fcs,fcs,True
2003,4,regular,North Carolina A&T,Southern,fcs,fcs,True
2003,4,regular,Portland State,Nicholls,fcs,fcs,True
2003,4,regular,UTEP,San Diego State,fbs,fbs,True
2003,4,regular,Arizona,Oregon,fbs,fbs,True
2003,4,regular,Arizona State,Utah State,fbs,fbs,True
2003,5,regular,Stephen F. Austin,Northern Iowa,fcs,fcs,True
2003,5,regular,Virginia Tech,Texas A&M,fbs,fbs,True
2003,5,regular,San José State,Nevada,fbs,fbs,True
2003,5,regular,UNLV,Hawai'i,fbs,fbs,True
2003,5,regular,Florida,Tennessee,fbs,fbs,True
2003,5,regular,Rhode Island,New Hampshire,fcs,fcs,True
2003,5,regular,NC State,Texas Tech,fbs,fbs,True
2003,5,regular,Syracuse,UCF,fbs,fbs,True
2003,5,regular,Wisconsin,North Carolina,fbs,fbs,True
2003,5,regular,Illinois,California,fbs,fbs,True
2003,5,regular,Ohio State,Bowling Green,fbs,fbs,True
2003,5,regular,Fordham,Columbia,fcs,fcs,True
2003,5,regular,Northeastern,William & Mary,fcs,fcs,True
2003,5,regular,Dartmouth,Colgate,fcs,fcs,True
2003,5,regular,Jacksonville,Coastal Carolina,fcs,fcs,True
2003,5,regular,Kansas State,Marshall,fbs,fbs,True
2003,5,regular,UAlbany,Brown,fcs,fcs,True
2003,5,regular,Cornell,Bucknell,fcs,fcs,True
2003,5,regular,Holy Cross,Harvard,fcs,fcs,True
2003,5,regular,Yale,Towson,fcs,fcs,True
2003,5,regular,St. Peter's,Robert Morris,fcs,fcs,True
2003,5,regular,Purdue,Arizona,fbs,fbs,True
2003,5,regular,VMI,Norfolk State,fcs,fcs,True
2003,5,regular,Penn State,Kent State,fbs,fbs,True
2003,5,regular,Georgetown,Monmouth,fcs,fcs,True
2003,5,regular,Valparaiso,St. Francis (PA),fcs,fcs,True
2003,5,regular,Iona,Pace,fcs,,True
2003,5,regular,Navy,Eastern Michigan,fbs,fbs,True
2003,5,regular,Hampton,Tuskegee,fcs,,True
2003,5,regular,Charleston Southern,West Virginia State,fcs,,True
2003,5,regular,Liberty,Kentucky Wesleyan,fcs,,True
2003,5,regular,App State,Morehead State,fcs,fcs,True
2003,5,regular,Elon,East Tennessee State,fcs,fcs,True
2003,5,regular,Missouri,Middle Tennessee,fbs,fbs,True
2003,5,regular,Northern Colorado,Minnesota State Mankato,fcs,,True
2003,5,regular,Air Force,Wyoming,fbs,fbs,True
2003,5,regular,Ball State,Central Michigan,fbs,fbs,True
2003,5,regular,Duke,Northwestern,fbs,fbs,True
2003,5,regular,Notre Dame,Michigan State,fbs,fbs,True
2003,5,regular,Eastern Illinois,Illinois State,fcs,fcs,True
2003,5,regular,Colorado State,Miami (OH),fbs,fbs,True
2003,5,regular,Florida A&M,Tennessee State,,fcs,True
2003,5,regular,Louisville,UTEP,fbs,fbs,True
2003,5,regular,Florida State,Colorado,fbs,fbs,True
2003,5,regular,Oklahoma,UCLA,fbs,fbs,True
2003,5,regular,Washington,Idaho,fbs,fbs,True
2003,5,regular,Oregon,Michigan,fbs,fbs,True
2003,5,regular,LSU,Georgia,fbs,fbs,True
2003,5,regular,Army,Tulane,fbs,fbs,True
2003,5,regular,Western Carolina,The Citadel,fcs,fcs,True
2003,5,regular,South Carolina State,Savannah St,fcs,fcs,True
2003,5,regular,College Of New Jersey,La Salle,,fcs,True
2003,5,regular,Indiana,Kentucky,fbs,fbs,True
2003,5,regular,Washington State,New Mexico,fbs,fbs,True
2003,5,regular,Buffalo,UConn,fbs,fbs,True
2003,5,regular,Maine,Massachusetts,fcs,fcs,True
2003,5,regular,James Madison,Hofstra,fcs,fcs,True
2003,5,regular,Central Connecticut,Sacred Heart,fcs,fcs,True
2003,5,regular,Stony Brook,Wagner,fcs,fcs,True
2003,5,regular,North Carolina Central,Delaware State,fcs,fcs,True
2003,5,regular,Florida International,Bethune-Cookman,fcs,fcs,True
2003,5,regular,Iowa,Arizona State,fbs,fbs,True
2003,5,regular,Gardner-Webb,Chattanooga,fcs,fcs,True
2003,5,regular,Pennsylvania,Duquesne,fcs,fcs,True
2003,5,regular,Maryland,West Virginia,fbs,fbs,True
2003,5,regular,Wake Forest,East Carolina,fbs,fbs,True
2003,5,regular,BYU,Stanford,fbs,fbs,True
2003,5,regular,Oregon State,Boise State,fbs,fbs,True
2003,5,regular,Youngstown State,Florida Atlantic,fcs,fcs,True
2003,5,regular,Wofford,Georgia Southern,fcs,fcs,True
2003,5,regular,Alabama,Northern Illinois,fbs,fbs,True
2003,5,regular,Tulsa,Arkansas State,fbs,fbs,True
2003,5,regular,Princeton,Lehigh,fcs,fcs,True
2003,5,regular,Marist,Siena,fcs,fcs,True
2003,5,regular,Baylor,Sam Houston,fbs,fcs,True
2003,5,regular,Murray State,Indiana State,fcs,fcs,True
2003,5,regular,Arkansas,North Texas,fbs,fbs,True
2003,5,regular,TCU,Vanderbilt,fbs,fbs,True
2003,5,regular,Furman,Richmond,fcs,fcs,True
2003,5,regular,Southeast Missouri State,Missouri State,fcs,fcs,True
2003,5,regular,South Carolina,UAB,fbs,fbs,True
2003,5,regular,Toledo,Pittsburgh,fbs,fbs,True
2003,5,regular,SMU,Oklahoma State,fbs,fbs,True
2003,5,regular,Cincinnati,Temple,fbs,fbs,True
2003,5,regular,Georgia Tech,Clemson,fbs,fbs,True
2003,5,regular,Delaware,West Chester,fcs,,True
2003,5,regular,Kansas,Jacksonville State,fbs,fcs,True
2003,5,regular,Akron,Howard,fbs,fcs,True
2003,5,regular,Troy,SE Louisiana,fbs,fcs,True
2003,5,regular,Texas State,UC Davis,fcs,fcs,True
2003,5,regular,San Diego State,Samford,fbs,fcs,True
2003,5,regular,Western Illinois,UT Martin,fcs,fcs,True
2003,5,regular,Grambling,McNeese,fcs,fcs,True
2003,5,regular,Boston College,Miami,fbs,fbs,True
2003,5,regular,Texas A&M-Kingsville,Nicholls,,fcs,True
2003,5,regular,UL Monroe,Northwestern State,fbs,fcs,True
2003,5,regular,Minnesota,Louisiana,fbs,fbs,True
2003,5,regular,Houston,Mississippi State,fbs,fbs,True
2003,5,regular,Western Kentucky,Eastern Kentucky,fcs,fcs,True
2003,5,regular,Cal Poly,Montana State,fcs,fcs,True
2003,5,regular,Eastern Washington,Southern Utah,fcs,fcs,True
2003,5,regular,Rice,Texas,fbs,fbs,True
2003,5,regular,Fresno State,Louisiana Tech,fbs,fbs,True
2003,6,regular,North Greenville,Coastal Carolina,,fcs,True
2003,6,regular,Southern Miss,Nebraska,fbs,fbs,True
2003,6,regular,Michigan,Indiana,fbs,fbs,True
2003,6,regular,New Hampshire,Dartmouth,fcs,fcs,True
2003,6,regular,Harvard,Brown,fcs,fcs,True
2003,6,regular,Penn State,Minnesota,fbs,fbs,True
2003,6,regular,Virginia Tech,UConn,fbs,fbs,True
2003,6,regular,Michigan State,Iowa,fbs,fbs,True
2003,6,regular,Ohio State,Northwestern,fbs,fbs,True
2003,6,regular,Kentucky,Florida,fbs,fbs,True
2003,6,regular,Villanova,Northeastern,fcs,fcs,True
2003,6,regular,Hofstra,Delaware,fcs,fcs,True
2003,6,regular,Kansas,Missouri,fbs,fbs,True
2003,6,regular,Wagner,Marist,fcs,fcs,True
2003,6,regular,East Tennessee State,Western Carolina,fcs,fcs,True
2003,6,regular,Army,South Florida,fbs,fbs,True
2003,6,regular,Montclair State,Iona,,fcs,True
2003,6,regular,Siena,Central Connecticut,fcs,fcs,True
2003,6,regular,Boston College,Ball State,fbs,fbs,True
2003,6,regular,VMI,Georgetown,fcs,fcs,True
2003,6,regular,UAlbany,Sacred Heart,fcs,fcs,True
2003,6,regular,Massachusetts,James Madison,fcs,fcs,True
2003,6,regular,Colgate,Towson,fcs,fcs,True
2003,6,regular,Yale,Cornell,fcs,fcs,True
2003,6,regular,Lafayette,Princeton,fcs,fcs,True
2003,6,regular,Lehigh,Pennsylvania,fcs,fcs,True
2003,6,regular,Robert Morris,St. Francis (PA),fcs,fcs,True
2003,6,regular,Charleston Southern,Greeneville,fcs,,True
2003,6,regular,The Citadel,App State,fcs,fcs,True
2003,6,regular,Miami (OH),Cincinnati,fbs,fbs,True
2003,6,regular,Furman,Gardner-Webb,fcs,fcs,True
2003,6,regular,Morgan State,Hampton,fcs,fcs,True
2003,6,regular,Memphis,Arkansas State,fbs,fbs,True
2003,6,regular,NC State,North Carolina,fbs,fbs,True
2003,6,regular,Kent State,UCF,fbs,fbs,True
2003,6,regular,Indiana State,Eastern Illinois,fcs,fcs,True
2003,6,regular,Illinois State,Florida Atlantic,fcs,fcs,True
2003,6,regular,Tennessee Tech,Murray State,fcs,fcs,True
2003,6,regular,BYU,Air Force,fbs,fbs,True
2003,6,regular,Western Washington,St. Mary's (CA),,fcs,True
2003,6,regular,Montana State,Northern Colorado,fcs,fcs,True
2003,6,regular,Louisville,Temple,fbs,fbs,True
2003,6,regular,Montana,Idaho,fcs,fbs,True
2003,6,regular,Texas A&M,Pittsburgh,fbs,fbs,True
2003,6,regular,Alabama,Arkansas,fbs,fbs,True
2003,6,regular,Richmond,Rhode Island,fcs,fcs,True
2003,6,regular,Oregon,Washington State,fbs,fbs,True
2003,6,regular,Virginia,Wake Forest,fbs,fbs,True
2003,6,regular,Purdue,Notre Dame,fbs,fbs,True
2003,6,regular,Washington,Stanford,fbs,fbs,True
